food_id,food_name,calories,carbohydrate,cholesterol,fat,fiber,iron,protein,sugar
77,Samosa,308.0,32.21,9.0,17.86,1.7,1.78,4.67,1.26
78,Sashimi,41.0,0.0,13.0,1.68,0.0,0.16,6.13,0.0
79,Seaweed Salad,130.0,23.0,0.0,4.5,3.0,0.0,3.0,4.0
80,Spaghetti Bolognese,364.0,45.28,30.0,12.73,4.1,3.97,17.73,6.99
81,Spaghetti Carbonara,384.0,51.7,94.0,10.67,3.0,2.71,16.18,1.85
82,Spring Rolls,63.0,7.44,23.0,2.84,0.6,0.63,1.99,0.75
83,Steak,57.0,0.0,13.0,3.6,0.0,0.42,5.76,0.0
84,Strawberry Shortcake,211.0,39.71,109.0,5.06,1.3,1.0,3.89,35.74
85,Sushi,37.0,7.77,1.0,0.11,0.2,0.35,1.12,1.63
86,Tacos,221.0,16.2,31.0,12.65,2.1,1.5,10.88,0.47
87,Takoyaki,70.0,7.11,35.0,3.02,0.3,0.78,3.38,0.19
88,Tiramisu,283.0,24.41,167.0,18.2,0.9,1.29,4.77,16.82
89,Tuna Tartare,350.0,25.0,50.0,14.0,6.0,0.0,32.0,9.0
90,Waffles,190.0,22.0,10.0,6.0,0.5,3.6,10.0,2.0
